exterior column,interior column,beam
"W12, W14, W27, W30, W33, W36","W12, W14, W27, W30, W33, W36","W21, W24, W27, W30, W33, W36"
"W12, W14, W27, W30, W33, W36","W12, W14, W27, W30, W33, W36","W21, W24, W27, W30, W33, W36"
"W12, W14, W27, W30, W33, W36","W12, W14, W27, W30, W33, W36","W21, W24, W27, W30, W33, W36"
"W12, W14, W27, W30, W33, W36","W12, W14, W27, W30, W33, W36","W21, W24, W27, W30, W33, W36"
"W12, W14, W27, W30, W33, W36","W12, W14, W27, W30, W33, W36","W21, W24, W27, W30, W33, W36"
"W12, W14, W27, W30, W33, W36","W12, W14, W27, W30, W33, W36","W21, W24, W27, W30, W33, W36"
"W12, W14, W27, W30, W33, W36","W12, W14, W27, W30, W33, W36","W21, W24, W27, W30, W33, W36"
"W12, W14, W27, W30, W33, W36","W12, W14, W27, W30, W33, W36","W21, W24, W27, W30, W33, W36"
"W12, W14, W27, W30, W33, W36","W12, W14, W27, W30, W33, W36","W21, W24, W27, W30, W33, W36"
"W12, W14, W27, W30, W33, W36","W12, W14, W27, W30, W33, W36","W21, W24, W27, W30, W33, W36"
"W12, W14, W27, W30, W33, W36","W12, W14, W27, W30, W33, W36","W21, W24, W27, W30, W33, W36"
"W12, W14, W27, W30, W33, W36","W12, W14, W27, W30, W33, W36","W21, W24, W27, W30, W33, W36"
"W12, W14, W27, W30, W33, W36","W12, W14, W27, W30, W33, W36","W21, W24, W27, W30, W33, W36"
"W12, W14, W27, W30, W33, W36","W12, W14, W27, W30, W33, W36","W21, W24, W27, W30, W33, W36"
"W12, W14, W27, W30, W33, W36","W12, W14, W27, W30, W33, W36","W21, W24, W27, W30, W33, W36"
"W12, W14, W27, W30, W33, W36","W12, W14, W27, W30, W33, W36","W21, W24, W27, W30, W33, W36"
"W12, W14, W27, W30, W33, W36","W12, W14, W27, W30, W33, W36","W21, W24, W27, W30, W33, W36"
"W12, W14, W27, W30, W33, W36","W12, W14, W27, W30, W33, W36","W21, W24, W27, W30, W33, W36"
"W12, W14, W27, W30, W33, W36","W12, W14, W27, W30, W33, W36","W21, W24, W27, W30, W33, W36"
"W12, W14, W27, W30, W33, W36","W12, W14, W27, W30, W33, W36","W21, W24, W27, W30, W33, W36"
